signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
3;(4, 4, 2);(4, 4);(4, 3, 1);(2, 2);(1, 2);11;70;280;11/280;((0, 0, 0, 1, 0, 1, 1, 2, 1, 2), (0, 0, 1, 0, 0, 1, 1, 2, 1, 2))
3;(4, 4, 4);(2, 4, 4);(3, 4, 3);(0, 0);(2, 0);1007;3150;4200;1007/4200;((0, 0, 1, 1, 1, 2, 1, 2, 2, 0, 2, 0), (0, 0, 1, 1, 2, 1, 1, 2, 2, 0, 2, 0))
3;(4, 4, 4);(3, 3, 4);(2, 4, 4);(1, 0);(0, 0);891;4200;3150;99/350;((0, 0, 1, 1, 1, 2, 2, 2, 2, 1, 0, 0), (0, 1, 0, 1, 1, 2, 2, 2, 2, 1, 0, 0))
3;(4, 4, 4);(3, 4, 3);(4, 4, 2);(0, 2);(2, 2);919;4200;3150;919/3150;((0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 2, 2), (0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 2))
3;(4, 4, 4);(4, 2, 4);(3, 3, 4);(1, 1);(0, 1);919;3150;4200;919/4200;((0, 0, 0, 1, 1, 2, 2, 2, 2, 1, 0, 1), (0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 0, 1))
3;(4, 4, 4);(4, 3, 3);(4, 2, 4);(2, 1);(1, 1);1007;4200;3150;1007/3150;((0, 0, 0, 0, 1, 2, 1, 2, 2, 2, 1, 1), (0, 0, 0, 0, 2, 1, 1, 2, 2, 2, 1, 1))
3;(4, 4, 4);(4, 4, 2);(4, 3, 3);(2, 2);(1, 2);1038;3150;4200;173/700;((0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 2), (0, 0, 0, 1, 0, 1, 1, 2, 2, 2, 1, 2))
3;(5, 3, 2);(3, 3, 2);(4, 2, 2);(0, 0);(1, 0);62;560;420;31/210;((0, 0, 0, 1, 1, 2, 2, 0, 1, 0), (0, 0, 1, 0, 1, 2, 2, 0, 1, 0))
3;(5, 3, 2);(4, 2, 2);(4, 3, 1);(1, 0);(2, 0);39;420;280;39/280;((0, 0, 0, 0, 2, 1, 1, 1, 2, 0), (0, 0, 0, 0, 1, 2, 1, 1, 2, 0))
3;(5, 3, 2);(4, 3, 1);(3, 3, 2);(2, 0);(0, 0);128;280;560;8/35;((0, 0, 0, 1, 1, 1, 2, 2, 0, 0), (0, 0, 0, 1, 1, 2, 1, 2, 0, 0))
3;(5, 3, 2);(4, 3, 2);(5, 3, 1);(0,);(2,);266;1260;504;19/36;((0, 0, 0, 0, 1, 1, 1, 2, 0, 2), (0, 0, 0, 0, 1, 1, 2, 1, 0, 2))
3;(5, 3, 2);(5, 2, 1);(4, 2, 2);(2, 1);(0, 1);47;168;420;47/420;((0, 0, 0, 0, 2, 1, 1, 2, 0, 1), (0, 0, 0, 2, 0, 1, 1, 2, 0, 1))
3;(5, 3, 2);(5, 2, 1);(5, 1, 2);(2, 1);(1, 1);25;168;168;25/168;((0, 0, 0, 0, 0, 2, 1, 2, 1, 1), (0, 0, 0, 0, 0, 1, 2, 2, 1, 1))
3;(5, 3, 3);(4, 3, 3);(5, 3, 2);(0,);(2,);849;4200;2520;283/840;((0, 0, 0, 0, 1, 1, 1, 2, 2, 0, 2), (0, 0, 0, 1, 0, 1, 1, 2, 2, 0, 2))
3;(5, 3, 3);(5, 2, 3);(4, 3, 3);(1,);(0,);1014;2520;4200;169/700;((0, 0, 0, 0, 1, 2, 1, 2, 2, 1, 0), (0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 0))
3;(5, 3, 3);(5, 3, 2);(5, 2, 3);(2,);(1,);544;2520;2520;68/315;((0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1), (0, 0, 0, 0, 0, 1, 2, 1, 2, 2, 1))
3;(5, 3, 4);(4, 3, 4);(5, 3, 3);(0,);(2,);4197;11550;9240;1399/3080;((0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 0, 2), (0, 0, 0, 1, 0, 1, 1, 2, 2, 2, 0, 2))
3;(5, 4, 3);(3, 4, 3);(4, 4, 2);(0, 0);(2, 0);326;4200;3150;163/1575;((0, 0, 0, 1, 1, 1, 1, 2, 2, 0, 2, 0), (0, 0, 0, 1, 1, 1, 2, 1, 2, 0, 2, 0))
3;(5, 4, 3);(4, 3, 3);(3, 4, 3);(1, 0);(0, 0);1552;4200;4200;194/525;((0, 0, 0, 1, 1, 1, 2, 2, 2, 1, 0, 0), (0, 0, 1, 0, 1, 1, 2, 2, 2, 1, 0, 0))
