signature_length;signature;subsig_to;subsig_from;tail_to;tail_from;cross_edges_count;multinomial_to;multinomial_from;ratio;cross_edge
4;(3, 3, 2, 2);(3, 2, 1, 2);(2, 2, 2, 2);(2, 1);(0, 1);247;1680;2520;247/2520;((0, 0, 1, 2, 3, 1, 3, 2, 0, 1), (0, 0, 1, 3, 2, 1, 3, 2, 0, 1))
4;(3, 3, 2, 2);(3, 2, 1, 2);(3, 1, 2, 2);(2, 1);(1, 1);352;1680;1680;22/105;((0, 0, 0, 1, 2, 3, 3, 2, 1, 1), (0, 0, 0, 2, 1, 3, 3, 2, 1, 1))
4;(3, 3, 2, 2);(3, 2, 2, 1);(3, 2, 1, 2);(3, 1);(2, 1);350;1680;1680;5/24;((0, 0, 0, 1, 1, 2, 3, 3, 2, 1), (0, 0, 0, 1, 1, 3, 2, 3, 2, 1))
4;(3, 3, 2, 2);(3, 3, 2, 1);(3, 3, 1, 2);(3,);(2,);978;5040;5040;163/840;((0, 0, 0, 1, 1, 1, 3, 2, 3, 2), (0, 0, 0, 1, 1, 1, 2, 3, 3, 2))
4;(4, 1, 1, 1);(3, 1, 1, 1);(4, 1, 1);(0,);(3,);13;120;30;13/30;((0, 0, 0, 1, 2, 0, 3), (0, 0, 0, 2, 1, 0, 3))
4;(4, 1, 1, 1);(4, 0, 1, 1);(3, 1, 1, 1);(1,);(0,);11;30;120;11/120;((0, 0, 0, 2, 3, 1, 0), (0, 0, 2, 0, 3, 1, 0))
4;(4, 1, 1, 1);(4, 1, 0, 1);(4, 0, 1, 1);(2,);(1,);4;30;30;2/15;((0, 0, 0, 0, 3, 2, 1), (0, 0, 0, 3, 0, 2, 1))
4;(4, 1, 1, 1);(4, 1, 1);(4, 1, 0, 1);(3,);(2,);4;30;30;2/15;((0, 0, 0, 0, 1, 3, 2), (0, 0, 0, 1, 0, 3, 2))
4;(4, 2, 1, 1);(3, 2, 0, 1);(4, 2);(0, 2);(3, 2);5;60;15;1/3;((0, 0, 0, 1, 1, 0, 3, 2), (0, 0, 1, 0, 1, 0, 3, 2))
4;(4, 2, 1, 1);(4, 1, 0, 1);(3, 2, 0, 1);(1, 2);(0, 2);12;30;60;1/5;((0, 0, 0, 1, 3, 1, 0, 2), (0, 0, 0, 3, 1, 1, 0, 2))
4;(4, 2, 1, 1);(4, 1, 1);(3, 2, 1);(1, 3);(0, 3);12;30;60;1/5;((0, 0, 0, 1, 2, 1, 0, 3), (0, 0, 0, 2, 1, 1, 0, 3))
4;(4, 2, 1, 1);(4, 2);(4, 1, 1);(2, 3);(1, 3);2;15;30;1/15;((0, 0, 0, 1, 0, 2, 1, 3), (0, 0, 0, 0, 1, 2, 1, 3))
4;(4, 2, 2, 2);(2, 2, 2, 2);(3, 2, 2, 1);(0, 0);(3, 0);569;2520;1680;569/1680;((0, 0, 1, 1, 2, 3, 2, 0, 3, 0), (0, 0, 1, 1, 3, 2, 2, 0, 3, 0))
4;(4, 2, 2, 2);(3, 1, 2, 2);(2, 2, 2, 2);(1, 0);(0, 0);496;1680;2520;62/315;((0, 0, 1, 2, 3, 3, 2, 1, 0, 0), (0, 0, 2, 1, 3, 3, 2, 1, 0, 0))
4;(4, 2, 2, 2);(3, 2, 1, 2);(4, 2, 0, 2);(0, 2);(2, 2);156;1680;420;13/35;((0, 0, 0, 1, 1, 3, 3, 0, 2, 2), (0, 0, 1, 0, 1, 3, 3, 0, 2, 2))
4;(4, 2, 2, 2);(3, 2, 2, 1);(4, 1, 2, 1);(0, 3);(1, 3);417;1680;840;139/280;((0, 0, 0, 1, 2, 2, 3, 0, 1, 3), (0, 0, 1, 0, 2, 2, 3, 0, 1, 3))
4;(4, 2, 2, 2);(4, 0, 2, 2);(3, 1, 2, 2);(1, 1);(0, 1);156;420;1680;13/140;((0, 0, 0, 2, 2, 3, 3, 1, 0, 1), (0, 0, 2, 0, 2, 3, 3, 1, 0, 1))
4;(4, 2, 2, 2);(4, 1, 1, 2);(4, 0, 2, 2);(2, 1);(1, 1);88;840;420;22/105;((0, 0, 0, 0, 2, 3, 3, 2, 1, 1), (0, 0, 0, 0, 3, 2, 3, 2, 1, 1))
4;(4, 2, 2, 2);(4, 1, 2, 1);(4, 2, 2);(1, 3);(3, 3);89;840;420;89/420;((0, 0, 0, 0, 1, 2, 2, 1, 3, 3), (0, 0, 0, 0, 2, 1, 2, 1, 3, 3))
4;(4, 2, 2, 2);(4, 2, 0, 2);(4, 1, 1, 2);(2, 2);(1, 2);89;420;840;89/840;((0, 0, 0, 0, 1, 3, 3, 2, 1, 2), (0, 0, 0, 1, 0, 3, 3, 2, 1, 2))
4;(4, 2, 2, 2);(4, 2, 1, 1);(3, 2, 1, 2);(3, 2);(0, 2);350;840;1680;5/24;((0, 0, 0, 1, 1, 2, 3, 3, 0, 2), (0, 0, 0, 1, 1, 3, 2, 3, 0, 2))
4;(4, 2, 2, 2);(4, 2, 2);(4, 2, 1, 1);(3, 3);(2, 3);85;420;840;17/168;((0, 0, 0, 0, 1, 2, 1, 3, 2, 3), (0, 0, 0, 0, 2, 1, 1, 3, 2, 3))
5;(1, 1, 2, 2, 2);(0, 1, 2, 2, 2);(1, 1, 2, 2, 1);(0,);(4,);177;630;1260;59/420;((1, 2, 2, 3, 3, 4, 0, 4), (2, 1, 2, 3, 3, 4, 0, 4))
5;(1, 1, 2, 2, 2);(1, 1, 1, 2, 2);(0, 1, 2, 2, 2);(2,);(0,);177;1260;630;59/210;((1, 2, 3, 3, 4, 4, 2, 0), (2, 1, 3, 3, 4, 4, 2, 0))
5;(1, 1, 2, 2, 2);(1, 1, 2, 1, 2);(1, 1, 1, 2, 2);(3,);(2,);334;1260;1260;167/630;((0, 1, 2, 3, 4, 4, 3, 2), (1, 0, 2, 3, 4, 4, 3, 2))
5;(1, 1, 2, 2, 2);(1, 1, 2, 2, 1);(1, 1, 2, 1, 2);(4,);(3,);332;1260;1260;83/315;((0, 1, 2, 2, 3, 4, 4, 3), (0, 1, 2, 3, 2, 4, 4, 3))
5;(2, 1, 1, 1, 1);(1, 1, 1, 1, 1);(2, 1, 1, 1);(0,);(4,);10;120;60;1/6;((0, 1, 2, 3, 0, 4), (1, 0, 2, 3, 0, 4))
5;(2, 1, 1, 1, 1);(2, 0, 1, 1, 1);(1, 1, 1, 1, 1);(1,);(0,);15;60;120;1/8;((0, 2, 3, 4, 1, 0), (0, 2, 4, 3, 1, 0))
5;(2, 1, 1, 1, 1);(2, 1, 0, 1, 1);(2, 0, 1, 1, 1);(2,);(1,);9;60;60;3/20;((0, 0, 3, 4, 2, 1), (0, 0, 4, 3, 2, 1))
5;(2, 1, 1, 1, 1);(2, 1, 1, 0, 1);(2, 1, 0, 1, 1);(3,);(2,);9;60;60;3/20;((0, 0, 4, 1, 3, 2), (0, 0, 1, 4, 3, 2))
5;(2, 1, 1, 1, 1);(2, 1, 1, 1);(2, 1, 1, 0, 1);(4,);(3,);10;60;60;1/6;((0, 0, 1, 2, 4, 3), (0, 0, 2, 1, 4, 3))
5;(2, 2, 1, 1, 1);(1, 2, 1, 1, 1);(2, 2, 1, 1);(0,);(4,);58;360;180;29/90;((0, 1, 1, 2, 3, 0, 4), (1, 0, 1, 2, 3, 0, 4))
5;(2, 2, 1, 1, 1);(2, 1, 1, 1, 1);(1, 2, 1, 1, 1);(1,);(0,);118;360;360;59/180;((0, 1, 2, 3, 4, 1, 0), (1, 0, 2, 3, 4, 1, 0))
5;(2, 2, 1, 1, 1);(2, 2, 0, 1, 1);(2, 1, 1, 1, 1);(2,);(1,);57;180;360;19/120;((0, 0, 1, 3, 4, 2, 1), (0, 0, 1, 4, 3, 2, 1))
5;(2, 2, 1, 1, 1);(2, 2, 1, 0, 1);(2, 2, 0, 1, 1);(3,);(2,);27;180;180;3/20;((0, 0, 1, 1, 4, 3, 2), (0, 1, 0, 1, 4, 3, 2))
5;(2, 2, 1, 1, 1);(2, 2, 1, 1);(2, 2, 1, 0, 1);(4,);(3,);28;180;180;7/45;((0, 0, 1, 2, 1, 4, 3), (0, 0, 1, 1, 2, 4, 3))
5;(2, 2, 2, 1, 1);(1, 2, 2, 0, 1);(2, 2, 2);(0, 3);(4, 3);5;180;90;1/18;((0, 1, 1, 2, 2, 0, 4, 3), (1, 0, 1, 2, 2, 0, 4, 3))
5;(2, 2, 2, 1, 1);(1, 2, 2, 1);(2, 2, 1, 1);(0, 4);(2, 4);49;180;180;49/180;((0, 1, 1, 2, 3, 0, 2, 4), (1, 0, 1, 2, 3, 0, 2, 4))
5;(2, 2, 2, 1, 1);(1, 2, 2, 1);(2, 2, 2);(0, 4);(3, 4);13;180;90;13/90;((0, 1, 1, 2, 2, 0, 3, 4), (0, 1, 2, 1, 2, 0, 3, 4))
5;(2, 2, 2, 1, 1);(2, 1, 2, 0, 1);(1, 2, 2, 0, 1);(1, 3);(0, 3);50;180;180;5/18;((0, 1, 2, 2, 4, 1, 0, 3), (0, 1, 2, 4, 2, 1, 0, 3))
5;(2, 2, 2, 1, 1);(2, 1, 2, 1);(1, 2, 2, 1);(1, 4);(0, 4);50;180;180;5/18;((0, 1, 2, 2, 3, 1, 0, 4), (0, 1, 2, 3, 2, 1, 0, 4))
5;(2, 2, 2, 1, 1);(2, 2, 1, 0, 1);(2, 1, 2, 0, 1);(2, 3);(1, 3);48;180;180;4/15;((0, 0, 2, 1, 4, 2, 1, 3), (0, 0, 1, 2, 4, 2, 1, 3))
5;(2, 2, 2, 1, 1);(2, 2, 1, 1);(2, 1, 2, 1);(2, 4);(1, 4);48;180;180;4/15;((0, 0, 2, 1, 3, 2, 1, 4), (0, 0, 1, 2, 3, 2, 1, 4))
5;(2, 2, 2, 1, 1);(2, 2, 2);(2, 2, 1, 0, 1);(4, 3);(2, 3);10;90;180;1/18;((0, 0, 1, 2, 1, 4, 2, 3), (0, 0, 1, 1, 2, 4, 2, 3))
5;(2, 2, 2, 2, 2);(0, 2, 2, 2, 2);(1, 2, 2, 2, 1);(0, 0);(4, 0);569;2520;5040;569/5040;((1, 1, 2, 2, 4, 3, 3, 0, 4, 0), (1, 1, 2, 2, 3, 4, 3, 0, 4, 0))
5;(2, 2, 2, 2, 2);(1, 1, 2, 2, 2);(0, 2, 2, 2, 2);(1, 0);(0, 0);457;5040;2520;457/2520;((1, 2, 2, 3, 4, 3, 4, 1, 0, 0), (1, 2, 3, 2, 4, 3, 4, 1, 0, 0))
5;(2, 2, 2, 2, 2);(1, 2, 1, 2, 2);(2, 2, 0, 2, 2);(0, 2);(2, 2);458;5040;2520;229/1260;((0, 1, 1, 3, 3, 4, 4, 0, 2, 2), (1, 0, 1, 3, 3, 4, 4, 0, 2, 2))
5;(2, 2, 2, 2, 2);(1, 2, 2, 1, 2);(2, 2, 2, 0, 2);(0, 3);(3, 3);458;5040;2520;229/1260;((0, 1, 1, 2, 2, 4, 4, 0, 3, 3), (1, 0, 1, 2, 2, 4, 4, 0, 3, 3))
5;(2, 2, 2, 2, 2);(1, 2, 2, 2, 1);(2, 1, 2, 2, 1);(0, 4);(1, 4);1104;5040;5040;23/105;((0, 1, 2, 2, 3, 3, 4, 0, 1, 4), (0, 1, 2, 3, 2, 3, 4, 0, 1, 4))
5;(2, 2, 2, 2, 2);(2, 0, 2, 2, 2);(1, 1, 2, 2, 2);(1, 1);(0, 1);458;2520;5040;229/2520;((0, 2, 2, 3, 3, 4, 4, 1, 0, 1), (0, 2, 3, 2, 3, 4, 4, 1, 0, 1))
5;(2, 2, 2, 2, 2);(2, 1, 1, 2, 2);(2, 0, 2, 2, 2);(2, 1);(1, 1);496;5040;2520;62/315;((0, 0, 2, 3, 4, 4, 3, 2, 1, 1), (0, 0, 3, 2, 4, 4, 3, 2, 1, 1))
5;(2, 2, 2, 2, 2);(2, 1, 2, 1, 2);(1, 2, 2, 1, 2);(1, 3);(0, 3);1104;5040;5040;23/105;((0, 1, 2, 2, 3, 4, 4, 1, 0, 3), (0, 1, 2, 3, 2, 4, 4, 1, 0, 3))
5;(2, 2, 2, 2, 2);(2, 1, 2, 2, 1);(2, 2, 1, 2, 1);(1, 4);(2, 4);1102;5040;5040;551/2520;((0, 0, 1, 2, 3, 3, 4, 1, 2, 4), (0, 0, 2, 1, 3, 3, 4, 1, 2, 4))
5;(2, 2, 2, 2, 2);(2, 2, 0, 2, 2);(2, 1, 1, 2, 2);(2, 2);(1, 2);496;2520;5040;31/315;((0, 0, 1, 3, 3, 4, 4, 2, 1, 2), (0, 1, 0, 3, 3, 4, 4, 2, 1, 2))
5;(2, 2, 2, 2, 2);(2, 2, 1, 1, 2);(1, 2, 1, 2, 2);(3, 2);(0, 2);925;5040;5040;185/1008;((0, 1, 1, 2, 3, 4, 4, 3, 0, 2), (1, 0, 1, 2, 3, 4, 4, 3, 0, 2))
5;(2, 2, 2, 2, 2);(2, 2, 1, 2, 1);(2, 2, 2, 2);(2, 4);(4, 4);532;5040;2520;19/90;((0, 0, 1, 1, 2, 3, 3, 2, 4, 4), (0, 0, 1, 1, 3, 2, 3, 2, 4, 4))
5;(2, 2, 2, 2, 2);(2, 2, 2, 0, 2);(2, 2, 1, 1, 2);(3, 3);(2, 3);532;2520;5040;19/180;((0, 0, 1, 1, 4, 2, 4, 3, 2, 3), (0, 0, 1, 1, 2, 4, 4, 3, 2, 3))
5;(2, 2, 2, 2, 2);(2, 2, 2, 1, 1);(2, 1, 2, 1, 2);(4, 3);(1, 3);923;5040;5040;923/5040;((0, 0, 1, 2, 2, 3, 4, 4, 1, 3), (0, 0, 2, 1, 2, 3, 4, 4, 1, 3))
5;(2, 2, 2, 2, 2);(2, 2, 2, 2);(2, 2, 2, 1, 1);(4, 4);(3, 4);570;2520;5040;19/168;((0, 0, 1, 1, 2, 3, 2, 4, 3, 4), (0, 0, 1, 1, 3, 2, 2, 4, 3, 4))
5;(3, 1, 1, 1, 1);(2, 1, 1, 1, 1);(3, 1, 1, 1);(0,);(4,);58;360;120;29/60;((0, 0, 1, 3, 2, 0, 4), (0, 0, 1, 2, 3, 0, 4))
5;(3, 1, 1, 1, 1);(3, 0, 1, 1, 1);(2, 1, 1, 1, 1);(1,);(0,);58;120;360;29/180;((0, 0, 2, 3, 4, 1, 0), (0, 0, 3, 2, 4, 1, 0))
5;(3, 1, 1, 1, 1);(3, 1, 0, 1, 1);(3, 0, 1, 1, 1);(2,);(1,);18;120;120;3/20;((0, 0, 0, 3, 4, 2, 1), (0, 0, 0, 4, 3, 2, 1))
5;(3, 1, 1, 1, 1);(3, 1, 1, 0, 1);(3, 1, 0, 1, 1);(3,);(2,);18;120;120;3/20;((0, 0, 0, 4, 1, 3, 2), (0, 0, 0, 1, 4, 3, 2))
5;(3, 1, 1, 1, 1);(3, 1, 1, 1);(3, 1, 1, 0, 1);(4,);(3,);19;120;120;19/120;((0, 0, 0, 1, 2, 4, 3), (0, 0, 0, 2, 1, 4, 3))
5;(3, 1, 2, 2, 2);(2, 1, 2, 2, 2);(3, 1, 2, 2, 1);(0,);(4,);5037;22680;15120;1679/5040;((0, 0, 1, 2, 2, 3, 3, 4, 0, 4), (0, 1, 0, 2, 2, 3, 3, 4, 0, 4))
5;(3, 1, 2, 2, 2);(3, 1, 1, 2, 2);(2, 1, 2, 2, 2);(2,);(0,);5037;15120;22680;1679/7560;((0, 0, 1, 2, 3, 3, 4, 4, 2, 0), (0, 0, 1, 3, 2, 3, 4, 4, 2, 0))
5;(3, 1, 2, 2, 2);(3, 1, 2, 1, 2);(3, 1, 1, 2, 2);(3,);(2,);3030;15120;15120;101/504;((0, 0, 0, 1, 2, 4, 3, 4, 3, 2), (0, 0, 0, 1, 4, 2, 3, 4, 3, 2))
5;(3, 1, 2, 2, 2);(3, 1, 2, 2, 1);(3, 1, 2, 1, 2);(4,);(3,);3028;15120;15120;757/3780;((0, 0, 0, 1, 2, 2, 3, 4, 4, 3), (0, 0, 0, 1, 2, 3, 2, 4, 4, 3))
5;(3, 2, 1, 1, 1);(2, 2, 1, 1, 1);(3, 2, 1, 1);(0,);(4,);178;1260;420;89/210;((0, 0, 1, 1, 2, 3, 0, 4), (0, 0, 1, 1, 3, 2, 0, 4))
5;(3, 2, 1, 1, 1);(3, 1, 1, 1, 1);(2, 2, 1, 1, 1);(1,);(0,);357;840;1260;17/60;((0, 0, 1, 2, 3, 4, 1, 0), (0, 0, 1, 3, 2, 4, 1, 0))
5;(3, 2, 1, 1, 1);(3, 2, 0, 1, 1);(3, 1, 1, 1, 1);(2,);(1,);117;420;840;39/280;((0, 0, 0, 1, 3, 4, 2, 1), (0, 0, 0, 3, 1, 4, 2, 1))
5;(3, 2, 1, 1, 1);(3, 2, 1, 0, 1);(3, 2, 0, 1, 1);(3,);(2,);58;420;420;29/210;((0, 0, 0, 1, 4, 1, 3, 2), (0, 0, 0, 1, 1, 4, 3, 2))
5;(3, 2, 1, 1, 1);(3, 2, 1, 1);(3, 2, 1, 0, 1);(4,);(3,);59;420;420;59/420;((0, 0, 0, 1, 1, 2, 4, 3), (0, 0, 0, 1, 2, 1, 4, 3))
5;(3, 2, 2, 1, 1);(2, 2, 2, 1, 1);(3, 2, 2, 1);(0,);(4,);542;5040;1680;271/840;((0, 0, 1, 1, 3, 2, 2, 0, 4), (0, 0, 1, 1, 2, 3, 2, 0, 4))
5;(3, 2, 2, 1, 1);(3, 1, 2, 1, 1);(2, 2, 2, 1, 1);(1,);(0,);1257;3360;5040;419/1680;((0, 0, 1, 2, 2, 3, 4, 1, 0), (0, 0, 2, 1, 2, 3, 4, 1, 0))
5;(3, 2, 2, 1, 1);(3, 2, 1, 1, 1);(3, 1, 2, 1, 1);(2,);(1,);766;3360;3360;383/1680;((0, 0, 0, 1, 2, 3, 4, 2, 1), (0, 0, 0, 1, 2, 4, 3, 2, 1))
5;(3, 2, 2, 1, 1);(3, 2, 2, 0, 1);(3, 2, 1, 1, 1);(3,);(2,);416;1680;3360;13/105;((0, 0, 0, 1, 1, 4, 2, 3, 2), (0, 0, 0, 1, 1, 2, 4, 3, 2))
5;(3, 2, 2, 1, 1);(3, 2, 2, 1);(3, 2, 2, 0, 1);(4,);(3,);168;1680;1680;1/10;((0, 0, 0, 1, 1, 2, 2, 4, 3), (0, 0, 1, 0, 1, 2, 2, 4, 3))
5;(3, 2, 2, 2, 1);(1, 2, 2, 2, 1);(2, 2, 2, 2);(0, 0);(4, 0);220;5040;2520;11/126;((0, 1, 1, 2, 2, 3, 3, 0, 4, 0), (1, 0, 1, 2, 2, 3, 3, 0, 4, 0))
5;(3, 2, 2, 2, 1);(2, 1, 2, 2, 1);(1, 2, 2, 2, 1);(1, 0);(0, 0);1104;5040;5040;23/105;((0, 1, 2, 2, 3, 3, 4, 1, 0, 0), (1, 0, 2, 2, 3, 3, 4, 1, 0, 0))
5;(3, 2, 2, 2, 1);(2, 2, 1, 2, 1);(2, 1, 2, 2, 1);(2, 0);(1, 0);1102;5040;5040;551/2520;((0, 0, 1, 2, 3, 4, 3, 2, 1, 0), (0, 0, 2, 1, 3, 4, 3, 2, 1, 0))
5;(3, 2, 2, 2, 1);(2, 2, 2, 1, 1);(2, 2, 1, 2, 1);(3, 0);(2, 0);1102;5040;5040;551/2520;((0, 0, 1, 1, 2, 4, 3, 3, 2, 0), (0, 0, 1, 1, 4, 2, 3, 3, 2, 0))
5;(3, 2, 2, 2, 1);(2, 2, 2, 2);(2, 2, 2, 1, 1);(4, 0);(3, 0);263;2520;5040;263/5040;((0, 0, 1, 1, 2, 3, 2, 4, 3, 0), (0, 0, 1, 1, 3, 2, 2, 4, 3, 0))
5;(3, 2, 2, 2, 1);(3, 1, 2, 2);(2, 2, 2, 2);(1, 4);(0, 4);226;1680;2520;113/1260;((0, 0, 2, 2, 3, 3, 1, 1, 0, 4), (0, 0, 2, 2, 3, 1, 3, 1, 0, 4))
5;(3, 2, 2, 2, 1);(3, 1, 2, 2);(3, 2, 2, 1);(1, 4);(3, 4);351;1680;1680;117/560;((0, 0, 0, 1, 2, 2, 3, 1, 3, 4), (0, 0, 1, 0, 2, 2, 3, 1, 3, 4))
5;(3, 2, 2, 2, 1);(3, 2, 1, 2);(3, 1, 2, 2);(2, 4);(1, 4);352;1680;1680;22/105;((0, 0, 0, 1, 2, 3, 3, 2, 1, 4), (0, 0, 0, 2, 1, 3, 3, 2, 1, 4))
5;(3, 2, 2, 2, 1);(3, 2, 2, 1);(3, 2, 1, 2);(3, 4);(2, 4);350;1680;1680;5/24;((0, 0, 0, 1, 1, 2, 3, 3, 2, 4), (0, 0, 0, 1, 1, 3, 2, 3, 2, 4))
5;(4, 1, 1, 1, 1);(3, 1, 1, 1, 1);(4, 1, 1, 1);(0,);(4,);115;840;210;23/42;((0, 0, 0, 1, 2, 3, 0, 4), (0, 0, 0, 1, 3, 2, 0, 4))
5;(4, 1, 1, 1, 1);(4, 0, 1, 1, 1);(3, 1, 1, 1, 1);(1,);(0,);114;210;840;19/140;((0, 0, 0, 2, 3, 4, 1, 0), (0, 0, 0, 2, 4, 3, 1, 0))
5;(4, 1, 1, 1, 1);(4, 1, 0, 1, 1);(4, 0, 1, 1, 1);(2,);(1,);27;210;210;9/70;((0, 0, 0, 0, 3, 4, 2, 1), (0, 0, 0, 3, 0, 4, 2, 1))
5;(4, 1, 1, 1, 1);(4, 1, 1, 0, 1);(4, 1, 0, 1, 1);(3,);(2,);27;210;210;9/70;((0, 0, 0, 0, 1, 4, 3, 2), (0, 0, 0, 0, 4, 1, 3, 2))
5;(4, 1, 1, 1, 1);(4, 1, 1, 1);(4, 1, 1, 0, 1);(4,);(3,);28;210;210;2/15;((0, 0, 0, 0, 2, 1, 4, 3), (0, 0, 0, 0, 1, 2, 4, 3))
5;(4, 2, 1, 1, 1);(3, 2, 1, 1, 1);(4, 2, 1, 1);(0,);(4,);418;3360;840;209/420;((0, 0, 0, 1, 1, 3, 2, 0, 4), (0, 0, 0, 1, 1, 2, 3, 0, 4))
5;(4, 2, 1, 1, 1);(4, 1, 1, 1, 1);(3, 2, 1, 1, 1);(1,);(0,);837;1680;3360;279/1120;((0, 0, 0, 1, 2, 3, 4, 1, 0), (0, 0, 0, 1, 3, 2, 4, 1, 0))
5;(4, 2, 1, 1, 1);(4, 2, 0, 1, 1);(4, 1, 1, 1, 1);(2,);(1,);204;840;1680;17/140;((0, 0, 0, 0, 1, 3, 4, 2, 1), (0, 0, 0, 0, 1, 4, 3, 2, 1))
5;(4, 2, 1, 1, 1);(4, 2, 1, 0, 1);(4, 2, 0, 1, 1);(3,);(2,);97;840;840;97/840;((0, 0, 0, 0, 1, 4, 1, 3, 2), (0, 0, 0, 0, 4, 1, 1, 3, 2))
5;(4, 2, 1, 1, 1);(4, 2, 1, 1);(4, 2, 1, 0, 1);(4,);(3,);98;840;840;7/60;((0, 0, 0, 0, 1, 1, 2, 4, 3), (0, 0, 0, 0, 1, 2, 1, 4, 3))
6;(1, 1, 2, 2, 2, 2);(0, 1, 2, 2, 2, 2);(1, 1, 2, 2, 2, 1);(0,);(5,);5037;22680;45360;1679/15120;((1, 2, 2, 3, 3, 4, 4, 5, 0, 5), (1, 2, 2, 3, 3, 4, 5, 4, 0, 5))
6;(1, 1, 2, 2, 2, 2);(1, 1, 1, 2, 2, 2);(0, 1, 2, 2, 2, 2);(2,);(0,);5037;45360;22680;1679/7560;((1, 2, 3, 3, 4, 4, 5, 5, 2, 0), (2, 1, 3, 3, 4, 4, 5, 5, 2, 0))
6;(1, 1, 2, 2, 2, 2);(1, 1, 2, 1, 2, 2);(1, 1, 1, 2, 2, 2);(3,);(2,);9442;45360;45360;4721/22680;((0, 1, 2, 3, 4, 4, 5, 5, 3, 2), (1, 0, 2, 3, 4, 4, 5, 5, 3, 2))
6;(1, 1, 2, 2, 2, 2);(1, 1, 2, 2, 1, 2);(1, 1, 2, 1, 2, 2);(4,);(3,);9442;45360;45360;4721/22680;((0, 1, 2, 2, 3, 4, 5, 5, 4, 3), (0, 1, 2, 3, 2, 4, 5, 5, 4, 3))
6;(1, 1, 2, 2, 2, 2);(1, 1, 2, 2, 2, 1);(1, 1, 2, 2, 1, 2);(5,);(4,);9442;45360;45360;4721/22680;((0, 1, 2, 2, 3, 3, 4, 5, 5, 4), (0, 1, 2, 3, 2, 3, 4, 5, 5, 4))
6;(2, 1, 1, 1, 1, 1);(1, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1);(0,);(5,);59;720;360;59/360;((0, 1, 2, 4, 3, 0, 5), (0, 1, 4, 2, 3, 0, 5))
6;(2, 1, 1, 1, 1, 1);(2, 0, 1, 1, 1, 1);(1, 1, 1, 1, 1, 1);(1,);(0,);95;360;720;19/144;((0, 2, 3, 5, 4, 1, 0), (0, 2, 3, 4, 5, 1, 0))
6;(2, 1, 1, 1, 1, 1);(2, 1, 0, 1, 1, 1);(2, 0, 1, 1, 1, 1);(2,);(1,);58;360;360;29/180;((0, 0, 3, 4, 5, 2, 1), (0, 0, 4, 3, 5, 2, 1))
6;(2, 1, 1, 1, 1, 1);(2, 1, 1, 0, 1, 1);(2, 1, 0, 1, 1, 1);(3,);(2,);58;360;360;29/180;((0, 0, 1, 4, 5, 3, 2), (0, 0, 1, 5, 4, 3, 2))
6;(2, 1, 1, 1, 1, 1);(2, 1, 1, 1, 0, 1);(2, 1, 1, 0, 1, 1);(4,);(3,);58;360;360;29/180;((0, 0, 1, 5, 2, 4, 3), (0, 0, 1, 2, 5, 4, 3))
6;(2, 1, 1, 1, 1, 1);(2, 1, 1, 1, 1);(2, 1, 1, 1, 0, 1);(5,);(4,);59;360;360;59/360;((0, 0, 1, 2, 3, 5, 4), (0, 0, 1, 3, 2, 5, 4))
6;(2, 2, 1, 1, 1, 1);(1, 2, 1, 1, 1, 1);(2, 2, 1, 1, 1);(0,);(5,);358;2520;1260;179/630;((0, 1, 1, 2, 3, 4, 0, 5), (0, 1, 2, 1, 3, 4, 0, 5))
6;(2, 2, 1, 1, 1, 1);(2, 1, 1, 1, 1, 1);(1, 2, 1, 1, 1, 1);(1,);(0,);718;2520;2520;359/1260;((0, 1, 2, 3, 4, 5, 1, 0), (1, 0, 2, 3, 4, 5, 1, 0))
6;(2, 2, 1, 1, 1, 1);(2, 2, 0, 1, 1, 1);(2, 1, 1, 1, 1, 1);(2,);(1,);357;1260;2520;17/120;((0, 0, 1, 3, 4, 5, 2, 1), (0, 0, 1, 3, 5, 4, 2, 1))
6;(2, 2, 1, 1, 1, 1);(2, 2, 1, 0, 1, 1);(2, 2, 0, 1, 1, 1);(3,);(2,);178;1260;1260;89/630;((0, 0, 1, 1, 4, 5, 3, 2), (0, 0, 1, 1, 5, 4, 3, 2))
6;(2, 2, 1, 1, 1, 1);(2, 2, 1, 1, 0, 1);(2, 2, 1, 0, 1, 1);(4,);(3,);178;1260;1260;89/630;((0, 0, 1, 1, 5, 2, 4, 3), (0, 0, 1, 1, 2, 5, 4, 3))
6;(2, 2, 1, 1, 1, 1);(2, 2, 1, 1, 1);(2, 2, 1, 1, 0, 1);(5,);(4,);179;1260;1260;179/1260;((0, 0, 1, 1, 2, 3, 5, 4), (0, 0, 1, 1, 3, 2, 5, 4))
6;(2, 2, 2, 1, 1, 1);(1, 2, 2, 1, 1, 1);(2, 2, 2, 1, 1);(0,);(5,);1258;10080;5040;629/2520;((0, 1, 1, 2, 2, 3, 4, 0, 5), (1, 0, 1, 2, 2, 3, 4, 0, 5))
6;(2, 2, 2, 1, 1, 1);(2, 1, 2, 1, 1, 1);(1, 2, 2, 1, 1, 1);(1,);(0,);2438;10080;10080;1219/5040;((0, 1, 2, 2, 3, 4, 5, 1, 0), (1, 0, 2, 2, 3, 4, 5, 1, 0))
